Epoch [1/100], Loss: 0.0360, val_loss: 0.0361, val_acc: 0.1255
Epoch [2/100], Loss: 0.0359, val_loss: 0.0361, val_acc: 0.1290
Epoch [3/100], Loss: 0.0359, val_loss: 0.0360, val_acc: 0.1488
Epoch [4/100], Loss: 0.0358, val_loss: 0.0360, val_acc: 0.1627
Epoch [5/100], Loss: 0.0358, val_loss: 0.0359, val_acc: 0.1650
Epoch [6/100], Loss: 0.0357, val_loss: 0.0358, val_acc: 0.1735
Epoch [7/100], Loss: 0.0355, val_loss: 0.0356, val_acc: 0.1784
Epoch [8/100], Loss: 0.0353, val_loss: 0.0353, val_acc: 0.1978
Epoch [9/100], Loss: 0.0350, val_loss: 0.0349, val_acc: 0.2182
Epoch [10/100], Loss: 0.0344, val_loss: 0.0342, val_acc: 0.2509
Epoch [11/100], Loss: 0.0336, val_loss: 0.0332, val_acc: 0.2562
Epoch [12/100], Loss: 0.0326, val_loss: 0.0323, val_acc: 0.2671
Epoch [13/100], Loss: 0.0319, val_loss: 0.0318, val_acc: 0.2733
Epoch [14/100], Loss: 0.0316, val_loss: 0.0315, val_acc: 0.2827
Epoch [15/100], Loss: 0.0313, val_loss: 0.0313, val_acc: 0.2830
Epoch [16/100], Loss: 0.0311, val_loss: 0.0312, val_acc: 0.2887
Epoch [17/100], Loss: 0.0309, val_loss: 0.0310, val_acc: 0.2930
Epoch [18/100], Loss: 0.0308, val_loss: 0.0308, val_acc: 0.3035
Epoch [19/100], Loss: 0.0306, val_loss: 0.0307, val_acc: 0.3063
Epoch [20/100], Loss: 0.0305, val_loss: 0.0306, val_acc: 0.3082
Epoch [21/100], Loss: 0.0303, val_loss: 0.0304, val_acc: 0.3105
Epoch [22/100], Loss: 0.0302, val_loss: 0.0303, val_acc: 0.3181
Epoch [23/100], Loss: 0.0300, val_loss: 0.0301, val_acc: 0.3239
Epoch [24/100], Loss: 0.0299, val_loss: 0.0300, val_acc: 0.3263
Epoch [25/100], Loss: 0.0297, val_loss: 0.0299, val_acc: 0.3246
Epoch [26/100], Loss: 0.0295, val_loss: 0.0296, val_acc: 0.3312
Epoch [27/100], Loss: 0.0294, val_loss: 0.0295, val_acc: 0.3353
Epoch [28/100], Loss: 0.0292, val_loss: 0.0294, val_acc: 0.3377
Epoch [29/100], Loss: 0.0290, val_loss: 0.0292, val_acc: 0.3461
Epoch [30/100], Loss: 0.0288, val_loss: 0.0290, val_acc: 0.3511
Epoch [31/100], Loss: 0.0286, val_loss: 0.0287, val_acc: 0.3550
Epoch [32/100], Loss: 0.0284, val_loss: 0.0285, val_acc: 0.3585
Epoch [33/100], Loss: 0.0282, val_loss: 0.0283, val_acc: 0.3687
Epoch [34/100], Loss: 0.0279, val_loss: 0.0280, val_acc: 0.3718
Epoch [35/100], Loss: 0.0277, val_loss: 0.0277, val_acc: 0.3813
Epoch [36/100], Loss: 0.0274, val_loss: 0.0275, val_acc: 0.3851
Epoch [37/100], Loss: 0.0271, val_loss: 0.0272, val_acc: 0.3852
Epoch [38/100], Loss: 0.0269, val_loss: 0.0270, val_acc: 0.3899
Epoch [39/100], Loss: 0.0266, val_loss: 0.0267, val_acc: 0.4011
Epoch [40/100], Loss: 0.0264, val_loss: 0.0265, val_acc: 0.4023
Epoch [41/100], Loss: 0.0262, val_loss: 0.0264, val_acc: 0.4051
Epoch [42/100], Loss: 0.0260, val_loss: 0.0262, val_acc: 0.4112
Epoch [43/100], Loss: 0.0258, val_loss: 0.0260, val_acc: 0.4174
Epoch [44/100], Loss: 0.0256, val_loss: 0.0259, val_acc: 0.4174
Epoch [45/100], Loss: 0.0255, val_loss: 0.0256, val_acc: 0.4203
Epoch [46/100], Loss: 0.0253, val_loss: 0.0254, val_acc: 0.4243
Epoch [47/100], Loss: 0.0252, val_loss: 0.0252, val_acc: 0.4314
Epoch [48/100], Loss: 0.0250, val_loss: 0.0251, val_acc: 0.4314
Epoch [49/100], Loss: 0.0249, val_loss: 0.0252, val_acc: 0.4294
Epoch [50/100], Loss: 0.0247, val_loss: 0.0250, val_acc: 0.4354
Epoch [51/100], Loss: 0.0246, val_loss: 0.0247, val_acc: 0.4406
Epoch [52/100], Loss: 0.0245, val_loss: 0.0245, val_acc: 0.4447
Epoch [53/100], Loss: 0.0243, val_loss: 0.0244, val_acc: 0.4449
Epoch [54/100], Loss: 0.0242, val_loss: 0.0244, val_acc: 0.4452
Epoch [55/100], Loss: 0.0241, val_loss: 0.0243, val_acc: 0.4461
Epoch [56/100], Loss: 0.0240, val_loss: 0.0242, val_acc: 0.4521
Epoch [57/100], Loss: 0.0239, val_loss: 0.0240, val_acc: 0.4534
Epoch [58/100], Loss: 0.0238, val_loss: 0.0244, val_acc: 0.4454
Epoch [59/100], Loss: 0.0237, val_loss: 0.0238, val_acc: 0.4615
Epoch [60/100], Loss: 0.0236, val_loss: 0.0238, val_acc: 0.4602
Epoch [61/100], Loss: 0.0235, val_loss: 0.0238, val_acc: 0.4576
Epoch [62/100], Loss: 0.0234, val_loss: 0.0239, val_acc: 0.4559
Epoch [63/100], Loss: 0.0233, val_loss: 0.0236, val_acc: 0.4621
